,title,n_enrolled,Level,subject,language,subtitles,course_length,price,ganancia_curso
0,How to Learn Online,124980,Introductory,Education & Teacher Training,English,English,2 Weeks,49.0,6124020.0
1,Programming for Everybody (Getting Started with Python),293864,Introductory,Computer Science,English,English,7 Weeks,49.0,14399336.0
2,CS50's Introduction to Computer Science,2442271,Introductory,Computer Science,English,English,12 Weeks,90.0,219804390.0
3,The Analytics Edge,129555,Intermediate,Data Analysis & Statistics,English,English,13 Weeks,199.0,25781445.0
4,Marketing Analytics: Marketing Measurement Strategy,81140,Introductory,Computer Science,English,English,4 Weeks,249.0,20203860.0
5,Introduction to Project Management,301793,Introductory,Business & Management,English,English,6 Weeks,199.0,60056807.0
6,Leading High-Performing Teams,32847,Intermediate,Communication,English,English,10 Weeks,5.0,164235.0
7,The Foundations of Happiness at Work,67073,Introductory,Business & Management,English,English,4 Weeks,199.0,13347527.0
8,"Managing Study, Stress and Mental Health at University",23061,Introductory,Health & Safety,English,English,2 Weeks,49.0,1129989.0
9,Six Sigma: Define and Measure,92411,Introductory,Business & Management,English,English,8 Weeks,99.0,9148689.0
10,Fat Chance: Probability from the Ground Up,66835,Introductory,Math,English,English,7 Weeks,49.0,3274915.0
11,Chasing your Dream: How to End Procrastination and Get a Job You Love,44711,Introductory,Communication,English,English,5 Weeks,49.0,2190839.0
12,Bitcoin and Cryptocurrencies,83398,Introductory,Computer Science,English,English,6 Weeks,99.0,8256402.0
14,Ethics in Action,6366,Intermediate,Ethics,English,"English, Español, Русский",10 Weeks,49.0,311934.0
15,Introduction to FinTech,72767,Introductory,Economics & Finance,English,"English, 中文, 中文",6 Weeks,199.0,14480633.0
16,Data Science: R Basics,528782,Introductory,Data Analysis & Statistics,English,English,8 Weeks,49.0,25910318.0
17,Python Basics for Data Science,228809,Introductory,Data Analysis & Statistics,English,English,5 Weeks,39.0,8923551.0
18,The Science of Beer,39085,Introductory,Food & Nutrition,English,English,6 Weeks,49.0,1915165.0
19,Strategic Social Media Marketing,103640,Advanced,Business & Management,English,English,6 Weeks,399.0,41352360.0
20,CS50's Introduction to Artificial Intelligence with Python,258006,Introductory,Computer Science,English,English,7 Weeks,199.0,51343194.0
21,CS50's Introduction to Game Development,346748,Intermediate,Computer Science,English,English,12 Weeks,149.0,51665452.0
22,Rhetoric: The Art of Persuasive Writing and Public Speaking,320225,Introductory,Humanities,English,English,8 Weeks,99.0,31702275.0
23,CS50's Web Programming with Python and JavaScript,698950,Intermediate,Computer Science,English,English,12 Weeks,90.0,62905500.0
24,Contract Law: From Trust to Promise to Contract,414181,Intermediate,Business & Management,English,English,8 Weeks,125.0,51772625.0
25,"Fundamentals of Neuroscience, Part 1: The Electrical Properties of the Neuron",380167,Introductory,Biology & Life Sciences,English,English,5 Weeks,99.0,37636533.0
26,Justice,392588,Introductory,Humanities,English,"Deutsch, English, Español, Português, 中文",12 Weeks,99.0,38866212.0
27,Data Science: Machine Learning,276209,Introductory,Data Analysis & Statistics,English,English,8 Weeks,49.0,13534241.0
28,Child Protection: Children's Rights in Theory and Practice,212453,Introductory,Social Sciences,English,English,16 Weeks,99.0,21032847.0
29,IELTS Academic Test Preparation,1103777,Introductory,Communication,English,English,8 Weeks,99.0,109273923.0
30,The Architectural Imagination,406181,Introductory,Architecture,English,English,10 Weeks,99.0,40211919.0
31,TOEFL® Test Preparation: The Insider’s Guide,1022489,Introductory,Communication,English,English,6 Weeks,49.0,50101961.0
32,Principles of Biochemistry,257600,Intermediate,Medicine,English,English,15 Weeks,199.0,51262400.0
33,Using Python for Research,262183,Intermediate,Computer Science,English,English,12 Weeks,99.0,25956117.0
34,Hinduism Through Its Scriptures,140782,Introductory,Humanities,English,English,4 Weeks,99.0,13937418.0
35,Basic Spanish 1: Getting Started,400169,Introductory,Communication,English,"English, Español",7 Weeks,40.0,16006760.0
36,The Health Effects of Climate Change,110024,Introductory,Environmental Studies,English,English,7 Weeks,99.0,10892376.0
37,Inglés básico: conversacional y networking,79671,Introductory,Business & Management,Español,"English, Español",4 Weeks,49.0,3903879.0
38,Statistics and R,314586,Intermediate,Data Analysis & Statistics,English,English,4 Weeks,249.0,78331914.0
39,Science & Cooking: From Haute Cuisine to Soft Matter Science (chemistry),145011,Introductory,Chemistry,English,English,16 Weeks,199.0,28857189.0
40,Pyramids of Giza: Ancient Egyptian Art and Archaeology,123870,Introductory,Art & Culture,English,English,8 Weeks,99.0,12263130.0
41,"PredictionX: Omens, Oracles & Prophecies",91566,Introductory,Social Sciences,English,English,1 Weeks,25.0,2289150.0
42,Excel: Fundamentos y herramientas,284279,Introductory,Computer Science,Español,Español,8 Weeks,50.0,14213950.0
43,Lessons from Ebola: Preventing the Next Pandemic,91983,Introductory,Social Sciences,English,English,4 Weeks,49.0,4507167.0
44,Improving Global Health: Focusing on Quality and Safety,127353,Intermediate,Social Sciences,English,English,10 Weeks,99.0,12607947.0
45,CS50 for Lawyers,87336,Introductory,Computer Science,English,English,10 Weeks,99.0,8646264.0
46,Data Science: Visualization,171258,Introductory,Data Analysis & Statistics,English,English,8 Weeks,49.0,8391642.0
47,Christianity Through Its Scriptures,125051,Introductory,Humanities,English,English,4 Weeks,99.0,12380049.0
48,The Science of Happiness,475614,Introductory,Social Sciences,English,English,11 Weeks,169.0,80378766.0
49,Leaders of Learning,231131,Introductory,Communication,English,"English, Español",10 Weeks,99.0,22881969.0
50,Exercising Leadership: Foundational Principles,57814,Introductory,Business & Management,English,English,4 Weeks,99.0,5723586.0
51,Data Science: Probability,135859,Introductory,Data Analysis & Statistics,English,English,8 Weeks,49.0,6657091.0
52,Introduction to Data Wise: A Collaborative Process to Improve Learning & Teaching,117410,Intermediate,Education & Teacher Training,English,"English, Español",10 Weeks,70.0,8218700.0
53,"Prescription Drug Regulation, Cost, and Access: Current Controversies in Context",80082,Introductory,Medicine,English,English,8 Weeks,99.0,7928118.0
54,Introduction to Family Engagement in Education,105146,Introductory,Education & Teacher Training,English,English,6 Weeks,70.0,7360220.0
55,Italian Language and Culture: Beginner (2019-2020),182462,Introductory,Language,Italiano,Italiano,12 Weeks,49.0,8940638.0
56,Steps in Japanese for Beginners1 Part1,53630,Introductory,Language,English,"English, 日本語",5 Weeks,49.0,2627870.0
57,How to Write an Essay,306787,Introductory,Humanities,English,English,5 Weeks,49.0,15032563.0
58,Energy Within Environmental Constraints,95324,Introductory,Environmental Studies,English,English,10 Weeks,99.0,9437076.0
59,Introduction to Probability,97291,Intermediate,Data Analysis & Statistics,English,English,10 Weeks,99.0,9631809.0
60,AnatomyX: Musculoskeletal Cases,102075,Intermediate,Medicine,English,English,7 Weeks,99.0,10105425.0
61,Data Science: Inference and Modeling,88256,Introductory,Data Analysis & Statistics,English,English,8 Weeks,49.0,4324544.0
62,Strengthening Community Health Worker Programs,58626,Introductory,Health & Safety,English,English,6 Weeks,79.0,4631454.0
63,Buddhism Through Its Scriptures,182295,Introductory,Humanities,English,English,4 Weeks,99.0,18047205.0
64,Introduction to Linux,642088,Introductory,Computer Science,English,English,14 Weeks,199.0,127775512.0
65,"Bioethics: The Law, Medicine, and Ethics of Reproductive Technologies and Genetics",81221,Introductory,Medicine,English,English,10 Weeks,99.0,8040879.0
66,Shakespeare's Life and Work,48938,Introductory,Humanities,English,English,4 Weeks,49.0,2397962.0
67,Marketing Digital: Content & Community Manager,112623,Introductory,Communication,Español,Español,5 Weeks,49.0,5518527.0
68,Accounting and Finance,88243,Intermediate,Business & Management,English,"English, हिन्दी",11 Weeks,150.0,13236450.0
69,Computing in Python I: Fundamentals and Procedural Programming,141966,Introductory,Computer Science,English,English,5 Weeks,99.0,14054634.0
70,"Nutrition, Exercise and Sports",51679,Intermediate,Food & Nutrition,English,English,6 Weeks,49.0,2532271.0
71,Becoming an Entrepreneur,104760,Introductory,Business & Management,English,English,6 Weeks,69.0,7228440.0
72,"Religion, Conflict and Peace",74060,Introductory,Humanities,English,English,8 Weeks,49.0,3628940.0
73,"Tangible Things: Discovering History Through Artworks, Artifacts, Scientific Specimens, and the Stuff Around You",61139,Introductory,Humanities,English,English,10 Weeks,49.0,2995811.0
74,Academic and Business Writing,322701,Introductory,Communication,English,English,6 Weeks,49.0,15812349.0
75,Data Science: Capstone,62803,Introductory,Data Analysis & Statistics,English,English,2 Weeks,99.0,6217497.0
76,Basics of Computing and Programming,37045,Introductory,Computer Science,English,English,9 Weeks,200.0,7409000.0
77,"Fundamentals of Neuroscience, Part 2: Neurons and Networks",84874,Introductory,Biology & Life Sciences,English,English,6 Weeks,99.0,8402526.0
78,Successful Negotiation: Essential Strategies and Skills,31369,Introductory,Business & Management,English,English,7 Weeks,49.0,1537081.0
79,Data Science: Linear Regression,75310,Introductory,Data Analysis & Statistics,English,English,8 Weeks,49.0,3690190.0
80,HTML5 and CSS Fundamentals,335895,Introductory,Computer Science,English,English,6 Weeks,199.0,66843105.0
81,Data Science: Productivity Tools,66683,Introductory,Data Analysis & Statistics,English,English,8 Weeks,49.0,3267467.0
82,Introduction to Corporate Finance,98093,Introductory,Business & Management,English,English,4 Weeks,225.0,22070925.0
83,Computer Science 101,39540,Introductory,Computer Science,English,English,6 Weeks,149.0,5891460.0
84,Data Science: Wrangling,64584,Introductory,Data Analysis & Statistics,English,English,8 Weeks,49.0,3164616.0
85,A Hands-on Introduction to Engineering Simulations,187138,Intermediate,Engineering,English,English,6 Weeks,199.0,37240462.0
86,AI for Everyone: Master the Basics,49340,Introductory,Computer Science,English,English,4 Weeks,49.0,2417660.0
87,The Psychology of Criminal Justice,110086,Introductory,Humanities,English,English,8 Weeks,99.0,10898514.0
88,Machine Learning with Python: A Practical Introduction,80161,Introductory,Data Analysis & Statistics,English,English,5 Weeks,39.0,3126279.0
89,Analyzing Data with Python,94079,Introductory,Data Analysis & Statistics,English,English,5 Weeks,39.0,3669081.0
90,Excel: gestión de datos,111785,Intermediate,Computer Science,Español,Español,6 Weeks,75.0,8383875.0
91,Probability - The Science of Uncertainty and Data,205615,Advanced,Data Analysis & Statistics,English,English,16 Weeks,300.0,61684500.0
92,"Fundamentals of Neuroscience, Part 3: The Brain",85034,Introductory,Biology & Life Sciences,English,English,8 Weeks,99.0,8418366.0
93,Sikhism Through Its Scriptures,44125,Introductory,Humanities,English,English,4 Weeks,99.0,4368375.0
94,Upper-Intermediate English: Business and Modern Life,77991,Intermediate,Language,English,English,4 Weeks,50.0,3899550.0
95,Introduction to Probability,97291,Intermediate,Data Analysis & Statistics,English,English,10 Weeks,99.0,9631809.0
96,Religious Literacy: Traditions and Scriptures,96972,Introductory,Humanities,English,English,4 Weeks,99.0,9600228.0
97,Programación para todos (empezando con Python),81004,Introductory,Computer Science,Español,Español,7 Weeks,49.0,3969196.0
98,Analyzing and Visualizing Data with Power BI,28879,Introductory,Data Analysis & Statistics,English,English,4 Weeks,99.0,2859021.0
99,High-Dimensional Data Analysis,78443,Advanced,Data Analysis & Statistics,English,English,4 Weeks,149.0,11688007.0
100,Introduction To Music Theory,67029,Introductory,Humanities,English,English,6 Weeks,49.0,3284421.0
101,Human Anatomy,126850,Introductory,Medicine,English,English,8 Weeks,139.0,17632150.0
102,"CitiesX: The Past, Present and Future of Urban Life",76874,Introductory,Social Sciences,English,"English, Português",11 Weeks,99.0,7610526.0
103,The Path to Happiness: What Chinese Philosophy Teaches us about the Good Life,24208,Introductory,Philosophy & Ethics,English,English,13 Weeks,99.0,2396592.0
104,Entrepreneurship 101: Who is your customer?,41838,Introductory,Business & Management,English,English,10 Weeks,49.0,2050062.0
105,"U.S. Public Policy: Social, Economic, and Foreign Policies",44045,Introductory,Social Sciences,English,English,4 Weeks,49.0,2158205.0
106,Machine Learning with Python: from Linear Models to Deep Learning,85561,Advanced,Computer Science,English,English,15 Weeks,300.0,25668300.0
107,Introduction to Data Science,43766,Introductory,Data Analysis & Statistics,English,English,6 Weeks,39.0,1706874.0
108,Circuits and Electronics 1: Basic Circuit Analysis,52639,Introductory,Electronics,English,"English, 中文",5 Weeks,169.0,8895991.0
109,Introduction to Investments,91788,Intermediate,Business & Management,English,English,5 Weeks,50.0,4589400.0
110,Improving Your Business Through a Culture of Health,54136,Introductory,Business & Management,English,English,9 Weeks,99.0,5359464.0
111,Introduction to Linear Models and Matrix Algebra,92004,Intermediate,Math,English,English,4 Weeks,149.0,13708596.0
112,DO Your Venture: Entrepreneurship For Everyone,61989,Introductory,Business & Management,English,"English, हिन्दी",6 Weeks,150.0,9298350.0
113,El valor de la creatividad y la innovación: La Economía Naranja,23728,Introductory,Art & Culture,Español,Español,8 Weeks,25.0,593200.0
114,Humanitarian Response to Conflict and Disaster,119891,Introductory,Health & Safety,English,English,5 Weeks,99.0,11869209.0
115,"Women Making History: Ten Objects, Many Stories",38939,Introductory,History,English,English,8 Weeks,99.0,3854961.0
116,Masterpieces of World Literature,88789,Introductory,Literature,English,English,12 Weeks,149.0,13229561.0
117,SQL for Data Science,39184,Introductory,Data Analysis & Statistics,English,English,4 Weeks,39.0,1528176.0
118,El cerebro y las emociones en el lenguaje,41279,Introductory,Communication,Español,Español,5 Weeks,49.0,2022671.0
119,Science & Cooking: From Haute Cuisine to Soft Matter Science (physics),62673,Introductory,Physics,English,English,16 Weeks,169.0,10591737.0
120,Python: aprender a programar,21613,Introductory,Computer Science,Español,Español,8 Weeks,49.0,1059037.0
121,Marketing Analytics: Competitive Analysis and Market Segmentation,70682,Intermediate,Computer Science,English,English,4 Weeks,249.0,17599818.0
122,MalariaX: Defeating Malaria from the Genes to the Globe,37598,Intermediate,Biology & Life Sciences,English,"English, Français",8 Weeks,49.0,1842302.0
123,Entrepreneurship in Emerging Economies,113602,Introductory,Business & Management,English,English,6 Weeks,125.0,14200250.0
124,JavaScript Introduction,160112,Introductory,Computer Science,English,English,5 Weeks,199.0,31862288.0
125,People Management,113592,Introductory,Business & Management,English,"English, हिन्दी",6 Weeks,150.0,17038800.0
126,Using Email for Networking in English,57208,Introductory,Language,English,English,4 Weeks,149.0,8523992.0
127,Databases: Relational Databases and SQL,20502,Introductory,Computer Science,English,English,2 Weeks,50.0,1025100.0
128,C Programming: Getting Started,104108,Introductory,Computer Science,English,English,7 Weeks,49.0,5101292.0
129,Supply Chain Analytics,145049,Introductory,Business & Management,English,English,15 Weeks,199.0,28864751.0
130,Programming for the Web with JavaScript,91406,Intermediate,Computer Science,English,English,4 Weeks,149.0,13619494.0
131,Introduction to Digital Humanities,37501,Introductory,Humanities,English,English,7 Weeks,99.0,3712599.0
132,Upper-Intermediate English: Business and Industry,103704,Intermediate,Language,English,English,4 Weeks,50.0,5185200.0
133,EmSAT English Preparation - Level 1,29101,Introductory,Language,English,English,6 Weeks,49.0,1425949.0
134,Python for Data Science,266978,Advanced,Data Analysis & Statistics,English,English,10 Weeks,350.0,93442300.0
135,Empathy and Emotional Intelligence at Work,45867,Introductory,Business & Management,English,English,4 Weeks,199.0,9127533.0
136,Design Thinking and Creativity for Innovation,47549,Intermediate,Business & Management,English,English,10 Weeks,5.0,237745.0
137,China and Communism,69104,Introductory,History,English,"English, 中文",15 Weeks,139.0,9605456.0
138,Mandarin Chinese Level 1,56040,Introductory,Language,English,English,6 Weeks,149.0,8349960.0
139,Introduction to Biology - The Secret of Life,147512,Introductory,Biology & Life Sciences,English,"English, 中文",16 Weeks,150.0,22126800.0
140,Photoshop: una herramienta para presentaciones innovadoras,22969,Introductory,Art & Culture,Español,Español,5 Weeks,19.0,436411.0
141,Causal Diagrams: Draw Your Assumptions Before Your Conclusions,50949,Introductory,Data Analysis & Statistics,English,English,9 Weeks,99.0,5043951.0
142,生活英语听说 | Conversational English Skills,301585,Introductory,Communication,English,English,10 Weeks,49.0,14777665.0
143,Shakespeare’s Othello: The Moor,31868,Introductory,Humanities,English,English,4 Weeks,49.0,1561532.0
144,Basic Spanish 2: One Step Further,67687,Introductory,Language,English,"English, Español",4 Weeks,50.0,3384350.0
145,Financial Market Analysis,37452,Intermediate,Economics & Finance,English,English,7 Weeks,25.0,936300.0
146,CS50's Computer Science for Business Professionals,73208,Introductory,Computer Science,English,English,6 Weeks,90.0,6588720.0
147,Gobierno Digital,18883,Introductory,Social Sciences,Español,Español,8 Weeks,25.0,472075.0
148,Upper-Intermediate English: Business and Globalization,58532,Intermediate,Language,English,English,4 Weeks,50.0,2926600.0
149,The Opioid Crisis in America,54805,Introductory,Medicine,English,English,10 Weeks,99.0,5425695.0
150,Gestión de Proyectos de Desarrollo,306286,Introductory,Business & Management,Español,Español,10 Weeks,49.0,15008014.0
151,Statistical Learning,27968,Introductory,Data Analysis & Statistics,English,English,9 Weeks,50.0,1398400.0
152,Introduction to Social Psychology,79365,Introductory,Humanities,English,English,7 Weeks,99.0,7857135.0
153,Artificial Intelligence (AI),265104,Advanced,Computer Science,English,English,12 Weeks,249.0,66010896.0
154,American Government: Constitutional Foundations,35504,Introductory,Social Sciences,English,English,4 Weeks,49.0,1739696.0
155,Introducción a la inversión bursátil,64261,Introductory,Economics & Finance,Español,Español,2 Weeks,50.0,3213050.0
156,Japanese Books: From Manuscript to Print,17581,Introductory,Art & Culture,English,English,9 Weeks,100.0,1758100.0
157,Foundations of Modern Finance  I,24108,Advanced,Economics & Finance,English,English,12 Weeks,450.0,10848600.0
158,Operations Management,126093,Intermediate,Business & Management,English,"English, हिन्दी",7 Weeks,150.0,18913950.0
159,Marketing Management,80010,Intermediate,Business & Management,English,"English, हिन्दी",9 Weeks,150.0,12001500.0
