,title,n_enrolled,Level,subject,language,subtitles,course_length,price,ganancia_curso
665,How to Achieve the Sustainable Development Goals,12719,Intermediate,Environmental Studies,English,"English, Русский",7 Weeks,49.0,623231.0
666,Aprendizaje y Enseñanza en la Era Digital,16954,Intermediate,Education & Teacher Training,Español,Español,4 Weeks,49.0,830746.0
667,From Atoms to Stars: How Physics Explains Our World,15914,Intermediate,Physics,English,"English, Русский",4 Weeks,49.0,779786.0
673,"Architecture, Algorithms, and Protocols of a Quantum Computer and Quantum Internet",8330,Intermediate,Physics,English,English,6 Weeks,79.0,658070.0
674,Contemporary Issues in World Politics,11426,Introductory,Social Sciences,English,English,7 Weeks,59.0,674134.0
675,More Fun with Prime Numbers,10604,Intermediate,Math,English,English,5 Weeks,49.0,519596.0
676,Enterprise Selling,5020,Introductory,Business & Management,English,English,6 Weeks,149.0,747980.0
677,Climate Change: Financial Risks and Opportunities,9977,Intermediate,Economics & Finance,English,English,4 Weeks,79.0,788183.0
678,Caer o No caer. El Secreto de las Estructuras.,20939,Introductory,Engineering,Español,Español,8 Weeks,29.0,607231.0
679,Mandarin Chinese Level 2,8784,Introductory,Language,English,English,6 Weeks,149.0,1308816.0
680,Design Thinking: Prototyping and User Testing,10769,Intermediate,Business & Management,English,English,6 Weeks,299.0,3219931.0
681,Bases Matemáticas: Derivadas,24301,Introductory,Math,Español,Español,5 Weeks,50.0,1215050.0
682,Buscar en Internet,27320,Introductory,Computer Science,Español,Español,7 Weeks,49.0,1338680.0
683,Big Data and Education,14909,Advanced,Data Analysis & Statistics,English,English,8 Weeks,169.0,2519621.0
684,Model-Based Automotive Systems Engineering,13857,Advanced,Engineering,English,English,7 Weeks,249.0,3450393.0
685,Introduction to Hyperledger Blockchain Technologies,138884,Introductory,Business & Management,English,English,14 Weeks,199.0,27637916.0
688,Mercados de capital y participantes claves,7210,Introductory,Economics & Finance,Español,Español,2 Weeks,49.0,353290.0
689,Introducción al desarrollo de videojuegos con Unity,27474,Intermediate,Computer Science,Español,Español,6 Weeks,50.0,1373700.0
690,Incorporating Renewable Energy in Electricity Grids,10430,Intermediate,Energy & Earth Sciences,English,English,6 Weeks,49.0,511070.0
691,Herramientas de la Inteligencia de Negocios,24130,Introductory,Data Analysis & Statistics,Español,Español,5 Weeks,49.0,1182370.0
694,Sprint Planning for Faster Agile Team Delivery,10654,Advanced,Engineering,English,English,4 Weeks,199.0,2120146.0
695,Introduction to Water and Climate,36320,Intermediate,Engineering,English,English,10 Weeks,50.0,1816000.0
696,The Medieval Icelandic Sagas,11176,Intermediate,Humanities,English,English,6 Weeks,50.0,558800.0
698,Community Engagement: Collaborating for Change,11818,Introductory,Social Sciences,English,English,6 Weeks,49.0,579082.0
699,Introducción al Internet de las Cosas (IoT),6322,Introductory,Electronics,Español,Español,6 Weeks,50.0,316100.0
700,"Proteins: Alignment, Analysis and Structure",23560,Advanced,Biology & Life Sciences,English,English,8 Weeks,249.0,5866440.0
701,AI Applications with Watson,9173,Intermediate,Computer Science,English,English,3 Weeks,99.0,908127.0
702,Data Analytics and Visualization in Health Care,7304,Advanced,Data Analysis & Statistics,English,English,8 Weeks,249.0,1818696.0
703,Question Everything: Scientific Thinking in Real Life,34279,Introductory,Math,English,English,8 Weeks,59.0,2022461.0
704,Introduction to Lifestyle Medicine,9002,Introductory,Biology & Life Sciences,English,English,8 Weeks,79.0,711158.0
705,"Social Work Practice with Individuals, Families, and Small Groups",16134,Advanced,Social Sciences,English,English,8 Weeks,199.0,3210666.0
706,Gateway to Medicine: An Introduction to the Field of Medicine|走近医学,6938,Introductory,Medicine,中文,"English, 中文",10 Weeks,49.0,339962.0
707,Indian & Tibetan River of Buddhism,6738,Intermediate,Humanities,English,English,12 Weeks,49.0,330162.0
709,Financial Analysis for Decision Making,39156,Introductory,Business & Management,English,English,4 Weeks,199.0,7792044.0
710,Lifestyle Medicine Treatments of Chronic Disease – Part 1,5668,Intermediate,Medicine,English,English,2 Weeks,179.0,1014572.0
711,Building Containerized Applications on AWS,6128,Intermediate,Computer Science,English,English,5 Weeks,99.0,606672.0
713,Biobased Products for a Sustainable (Bio)economy,6951,Introductory,Biology & Life Sciences,English,English,10 Weeks,50.0,347550.0
714,Social Work Practice: Advocating Social Justice and Change,19603,Introductory,Social Sciences,English,English,5 Weeks,49.0,960547.0
715,Anthropology of Current World Issues,44821,Introductory,Humanities,English,English,9 Weeks,99.0,4437279.0
716,Buyer Behaviour and Analysis,19717,Advanced,Communication,English,English,12 Weeks,199.0,3923683.0
717,Idea Development: Create and Implement Innovative Ideas,11501,Intermediate,Business & Management,English,English,10 Weeks,249.0,2863749.0
718,Analysis of Transport Phenomena I: Mathematical Methods,9169,Advanced,Engineering,English,English,17 Weeks,149.0,1366181.0
719,Leading the Organization,14998,Intermediate,Business & Management,English,English,10 Weeks,249.0,3734502.0
720,"Financial Programming and Policies, Part 2: Program Design",19330,Intermediate,Economics & Finance,English,English,7 Weeks,25.0,483250.0
721,Introduction to Open Source Networking Technologies,17436,Introductory,Computer Science,English,English,14 Weeks,169.0,2946684.0
722,Deep Learning Essentials,5018,Intermediate,Computer Science,English,English,5 Weeks,149.0,747682.0
723,Estadística Aplicada a los Negocios,25295,Introductory,Data Analysis & Statistics,Español,Español,5 Weeks,49.0,1239455.0
724,"English for Journalists, Part 2",22814,Intermediate,Communication,English,English,5 Weeks,49.0,1117886.0
725,Teaching & Learning in the Diverse Classroom,7104,Introductory,Education & Teacher Training,English,English,5 Weeks,99.0,703296.0
726,Fundamentals of Microeconomics | Fundamentos de Microeconomía,18456,Introductory,Social Sciences,English,"English, Español",7 Weeks,129.0,2380824.0
728,IoT Networks and Protocols,22136,Introductory,Computer Science,English,English,5 Weeks,199.0,4405064.0
730,China’s First Empires and the Rise of Buddhism,46053,Introductory,History,English,"English, 中文",15 Weeks,139.0,6401367.0
731,Apnea y Trastornos del Sueño,14902,Introductory,Health & Safety,Español,Español,10 Weeks,49.0,730198.0
732,Educación sobre el cambio climático,23253,Introductory,Education & Teacher Training,Español,Español,10 Weeks,25.0,581325.0
734,Urban Sewage Treatment,40408,Intermediate,Engineering,English,English,7 Weeks,50.0,2020400.0
735,Doing Gender and Why it Matters,6826,Introductory,Social Sciences,English,English,6 Weeks,99.0,675774.0
